, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
1, 1, 22, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 22, 1, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0, 0, 1, 0, 0, 13, 5, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 1, 12, 17, 0, 0, 0, 0, 0, 0, 0
5, 0, 0, 0, 0, 1, 0, 0, 40, 17, 0, 0, 0, 0
6, 0, 6, 13, 0, 0, 1, 33, 0, 31, 0, 0, 0, 0
7, 0, 0, 0, 0, 0, 0, 1, 18, 0, 23, 0, 0, 0
8, 0, 0, 0, 0, 40, 36, 18, 1, 0, 36, 15, 0, 0
9, 0, 0, 0, 0, 17, 0, 0, 0, 1, 12, 0, 34, 0
10, 0, 0, 0, 0, 0, 0, 23, 0, 12, 1, 0, 0, 38
11, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 31, 0
12, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 49
13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 49, 1
