,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,1,11027360,7948511,8717936,6400363,8962576,6592627,8328472,11213847,9441037,8142999,8012062,11526916,10301676,10972086,6970524,7663873,7595315,10272441,9855189,6836552,10242746,12005350,10719203,10511548,12274024,8264554,10656521,12162915,9170376,8981513,10445206,9477546,11162288,7947011,8424705,7538187,9578799,9721657,7160235,12467222,10561003,7033422,0,11410411,8780163,6517293,11711572,8391105,11985089,11953540,10125864,9449961,7468814,12255836,9771663,9078717,9391894,11886681,11600866,7529368,6545065,9898683,9087857,9636850,10155255,8698557,11671115,10736087,8731077
2,11027360,1,7857996,7411044,12388088,11758551,8848728,9045039,7610886,9503731,9942756,9505896,11762763,11786293,7010697,6864663,11503294,12240776,9396285,10218403,10866033,6771022,7317646,9938489,8729280,8613953,8506115,9058204,10792362,9467671,7564245,11072740,12483663,12429472,7590587,7850378,8126055,6912286,11494349,6771407,10246431,8702902,7507496,12116442,9900192,9345522,9056160,11714388,7718431,7549929,8302777,8549316,8380778,8431498,9535601,11914612,9181340,6560334,11728005,10423270,9003592,0,8136316,8230869,8377499,8876329,7098697,12093503,11495726,10817404
3,7948511,7857996,1,7998338,6896291,10006468,9795549,10661704,10250039,9857145,8405227,10282845,10779452,12371905,11568340,7739901,10823284,8210538,7228949,11908532,8286084,8269372,6597957,12387852,10196768,9264563,8258987,10246698,9180190,11092060,7321654,11459970,6774141,8506655,11212085,7888227,6695510,9954820,6539747,6478733,6321161,7401804,12233094,8190465,12214557,6908094,12034776,7770270,9411068,9079337,11249787,8573773,7065809,8229282,7683251,7786111,0,11739142,8955505,12160551,8705986,9206338,10881067,10349832,8581473,7928257,10147663,10409532,7088045,7555543
4,8717936,7411044,7998338,1,10555943,9877066,6362003,7273882,7504822,12144593,9546908,10361712,11852696,7807882,6886786,8175624,8287294,10012305,11877543,10599614,6808547,9848475,8122689,10576107,8515675,12271242,8686126,7050376,10107310,10051064,9397269,10295803,10958834,7472787,8669127,9253466,0,7807622,8929883,10760839,9932152,11985389,7763437,10799090,11728580,7849759,9212851,9776009,11554946,8374895,11932387,11216731,12408056,9646181,7320530,10390294,6896041,10530623,11899323,10986285,7978562,11587321,10292126,9356571,8847402,6507270,9386571,10869902,11518266,0
5,6400363,12388088,6896291,10555943,1,7070165,0,8530602,8403838,6542134,8061000,9266650,7264676,9700310,9364334,10357933,8509317,9304488,8181667,9276603,7518368,10301490,8322403,9289648,11246475,11719909,11758691,11784693,9256695,7323724,12324970,6960973,9736062,10656799,11415370,7170428,9718096,10304107,6584612,6388553,7940145,12247756,10417337,9871113,10363500,10616470,7145152,6701815,8707636,6688190,7379595,7814363,8617795,8619199,8169171,7699463,11613716,9042707,7761501,0,10231604,9727198,7129772,6947307,11339339,9902442,11787142,9826704,7886814,6704581
6,8962576,11758551,10006468,9877066,7070165,1,11145341,10321234,8406537,11207471,8088969,10373211,7175072,9831827,7380080,6487654,11850894,7834906,12499931,6482579,7016752,8596863,11891693,7782878,7907982,10082642,6445153,8376247,7185940,11081834,6339586,7081931,7543928,7779590,7717861,8378165,9545627,0,8549319,7485151,8816604,9137042,9127071,7813244,12093592,10238942,9757652,7450312,12389256,8508417,11566414,12266093,10582001,8908315,9161504,11318189,8165620,10209299,8086157,7222126,7848089,7368251,11382267,7894776,12170160,9607651,11987617,7292722,10843737,10164777
7,6592627,8848728,9795549,6362003,0,11145341,1,12480048,7325888,10397620,7467315,8840403,12456382,8963059,11377318,9020427,9601779,12305116,10412352,8297768,10878231,10666669,12356164,11292562,10717565,10331461,11198145,9149229,11347794,8779703,11425449,11925901,10539127,10704855,7838129,0,8010996,11860181,7959659,11264260,0,8953617,6601294,8773093,9847776,11611589,11666368,7734365,6352802,7907777,8010024,10377164,10549402,10560946,11005312,10587319,10433992,8215461,9782678,11827070,6770713,9260507,6969168,6352158,9765890,7807204,10712686,11334428,10051218,7855303
8,8328472,9045039,10661704,7273882,8530602,10321234,12480048,1,9242550,8318311,7935007,7282379,8049176,7781918,8401291,7660406,6299903,7105522,11305961,8777863,12346492,8449783,9971070,8804206,10055659,8747015,10808648,12014596,11782360,8614473,10082132,9455319,10536291,7507742,6250005,7016372,12032797,11562867,12136431,6950064,12294571,8978490,10722555,6481886,9430410,8834139,8989335,11814087,10021491,6757714,6608017,10819092,10970939,6903916,10584281,9775183,8947740,8953678,0,9925363,8943072,6780928,12335852,9842390,7489369,10498425,7960184,11185022,10062794,11518628
9,11213847,7610886,10250039,7504822,8403838,8406537,7325888,9242550,1,6402219,0,11947574,8541846,9188904,9633534,8703405,8022492,6933907,9798768,7734743,11679196,11963643,11312433,10029609,11176555,8213868,11528593,11868837,11573993,6745830,6940936,9806799,11873940,8598884,12031663,11787281,11790641,9909918,6414402,12277116,10495702,10383204,10214812,6483596,7801870,7417381,8674024,9931845,6711048,10496426,12221874,8479110,7521418,7979347,11247317,8374646,7576055,11440515,7530220,9901867,9546363,8685687,12303652,11022019,7377504,10610764,8445295,7621180,7886927,7371490
10,9441037,9503731,9857145,12144593,6542134,11207471,10397620,8318311,6402219,1,10273909,6255724,11824766,11601792,0,11313799,7920454,10306365,12352400,8625279,6602672,7733864,12410189,8760481,10282462,10209671,8909062,8296540,8496504,8154574,0,7310109,7878409,11590952,8407033,10647064,10646788,12230333,11362866,6764860,10649193,9081204,9099620,6668106,9947333,12391954,11678024,6567849,11926585,6685014,6263810,7747163,7763866,12008677,10881339,7432016,11571779,11953178,7180559,7733632,7465552,10002167,12221867,6309033,9841960,6603955,6904708,10358025,7887341,10123732
11,8142999,9942756,8405227,9546908,8061000,8088969,7467315,7935007,0,10273909,1,6341401,7773109,6759821,12350188,6818994,7638301,8004908,10853602,7013028,12208090,9769271,9986181,9870398,10043072,7545186,10691957,11489170,8687910,6287110,11444403,6731415,9122537,9595098,7049457,12274192,10424145,11954611,9516430,10353258,10761491,7054682,9942057,9717886,9241069,7422463,6339552,9572926,11624339,12497361,7122245,11348759,10850162,9287087,11563613,6575689,6577188,11717855,7203816,8422066,11605492,0,10290686,8071692,9723623,9357480,11682714,12044012,10991233,6296094
12,8012062,9505896,10282845,10361712,9266650,10373211,8840403,7282379,11947574,6255724,6341401,1,7754693,9147881,10979236,6697152,10768153,11605201,9082223,8177069,9546950,9179783,7051426,8072365,11701886,10208482,6441474,9257640,7583266,9480311,12318814,9047138,10843779,11823822,10175851,10295021,10018647,6627187,6655871,9543773,0,9892599,7190017,9155423,10592149,6788589,6994668,7601970,6376779,7779876,8638436,9671603,11592343,11657392,12436340,11573880,10479089,7742007,10743284,12072389,8725826,9546648,12063059,9227332,7205622,7902786,10232914,8339367,12378074,10370453
13,11526916,11762763,10779452,11852696,7264676,7175072,12456382,8049176,8541846,11824766,7773109,7754693,1,9257599,10353855,10412088,9510445,6939619,9823252,6655083,9931642,10987660,9543471,8820224,11525834,10333195,6823609,11685822,8552861,11587792,11606848,9569550,9079956,8596892,6818161,11464719,9406986,6714372,7951932,6376978,6768530,6961980,9644439,11644623,0,11469280,8262656,7770667,10854729,10170182,11528805,7222620,11002257,10514468,10339238,10376203,0,11554677,8684150,11051919,6441776,7524351,7357694,9526313,7938282,7249466,11347409,11956115,7966042,6746582
14,10301676,11786293,12371905,7807882,9700310,9831827,8963059,7781918,9188904,11601792,6759821,9147881,9257599,1,11739118,12341265,9470964,11425621,6577586,7719438,7273918,12285290,8346212,12493169,9493202,10616193,8755814,11031854,9819130,9924678,6577309,10159467,8826309,10133299,6905275,9799259,9803726,10341898,9779664,7568862,8081638,11836577,7482341,10115160,6655730,12095371,7271792,8139507,11753302,9191923,11994580,11906363,7107424,11493004,11681699,7439485,8609747,9072167,12101627,9134532,6372530,8585816,10897499,10740404,12304083,8716176,9488270,9826015,10758879,9402319
15,10972086,7010697,11568340,6886786,9364334,7380080,11377318,8401291,9633534,0,12350188,10979236,10353855,11739118,1,9890850,7531984,6750240,10753350,11649469,11522737,9302439,10175612,11856673,9053595,7566113,10701633,11401588,6814372,9233962,8754896,11101746,6430884,8584060,9502748,0,9394781,8845003,8445871,7171953,6439011,7661212,11935921,8474587,10356331,10728369,10818986,7844367,10296869,11558575,11672913,9971508,11437504,8742527,6600625,7589133,10308954,8710600,0,12131901,9194588,7971122,10958720,10537951,12188284,10864400,6455661,8991373,9345320,7699368
16,6970524,6864663,7739901,8175624,10357933,6487654,9020427,7660406,8703405,11313799,6818994,6697152,10412088,12341265,9890850,1,12394602,10215643,10184047,9917500,9134585,8994000,12319041,10254068,10943930,0,8782065,0,11597217,12093635,8435943,7268458,11276045,8751076,10068661,6949199,10927279,7981028,10503019,0,10387805,7695399,10663014,8647327,11061204,0,9259023,7450715,12073313,10588310,12274118,8635069,8654973,8154467,6300529,11523556,10559496,12259508,11420249,0,12250341,8485480,12151695,7279412,11016297,10035004,7050017,7330450,8889890,9952349
17,7663873,11503294,10823284,8287294,8509317,11850894,9601779,6299903,8022492,7920454,7638301,10768153,9510445,9470964,7531984,12394602,1,7037259,8258972,6765628,8512984,11749381,6776110,12370070,7899654,7449137,10534654,12342803,7217546,11912109,7002975,7930682,10198931,11073891,9023174,8354404,8203447,11364498,10467488,11475512,7900230,12185720,12355161,12345459,9118005,8181415,8373596,8203991,6871347,11990596,11897640,10773307,8784764,7705424,6294278,8663256,8374565,11336028,10811758,8245488,12381119,10568408,7037112,9411435,7681724,9066969,8778190,8730154,9052713,7980768
18,7595315,12240776,8210538,10012305,9304488,7834906,12305116,7105522,6933907,10306365,8004908,11605201,6939619,11425621,6750240,10215643,7037259,1,12079605,10763473,11864102,10616300,7645284,6745626,6649573,10699603,12258802,6914699,7009012,6533248,12192644,6943723,8130533,7421525,12249966,10133848,10372251,8925898,12041033,12181110,10197038,7377482,7997900,9614309,0,6332035,7712013,9982054,12202857,6311947,11733394,6402838,9002428,8976911,7906731,10127113,8100720,9013908,10912127,11197869,11954981,9921319,11222765,6691808,10686600,9659350,10143213,11784732,8409011,11949662
19,10272441,9396285,7228949,11877543,8181667,12499931,10412352,11305961,9798768,12352400,10853602,9082223,9823252,6577586,10753350,10184047,8258972,12079605,1,10120755,9994887,11379394,8555853,7452991,10108742,6591895,6378194,6998946,9318098,10789259,10726241,6441461,7592148,9861584,8611048,6584808,11678583,12405109,7523920,10962531,12417426,7569115,11949852,6627878,6501628,6778657,11292784,10006267,10384652,10617499,6685777,9474061,7972247,9909387,7208860,10196051,9999376,8806851,7453849,9392143,6606972,6920190,10397972,9026025,11116848,7571527,10845561,10800950,0,0
20,9855189,10218403,11908532,10599614,9276603,6482579,8297768,8777863,7734743,8625279,7013028,8177069,6655083,7719438,11649469,9917500,6765628,10763473,10120755,1,8238747,9151182,9549338,0,7002708,6539013,11546053,7615954,9009802,8948038,7028202,7200085,11860407,8177400,8723670,9561504,9079969,7869870,6410882,6692750,10434154,8088487,10936058,11744637,9263461,10555691,9991948,7442471,11779609,9071352,8875344,7820586,12238527,7601267,0,11853912,12134679,9327818,10840063,6679624,10122893,9534913,8777892,8415219,10723702,7900964,10189390,11371298,10188461,7099800
21,6836552,10866033,8286084,6808547,7518368,7016752,10878231,12346492,11679196,6602672,12208090,9546950,9931642,7273918,11522737,9134585,8512984,11864102,9994887,8238747,1,10100848,7667602,10710562,8273243,8788080,0,10762426,7444825,6572025,10145436,7127957,7000501,11889434,7677585,11130960,6738256,6287702,8510545,9680780,10255823,12037139,7818974,9640819,8711129,8090509,9321025,11469832,12171345,6711902,12266142,10307613,10942359,8173587,7965754,10001093,10467707,7482101,11977913,8648499,8429749,6539053,9651768,10838996,10233590,8810611,7694658,9963446,9753706,11867341
22,10242746,6771022,8269372,9848475,10301490,8596863,10666669,8449783,11963643,7733864,9769271,9179783,10987660,12285290,9302439,8994000,11749381,10616300,11379394,9151182,10100848,1,11444666,9034643,8633241,11802605,8099522,8014364,11677644,7178293,11223574,9163390,6449506,6781373,7707456,7053360,8367938,6392245,10032116,9067905,8196698,8230344,9859712,11342052,9935810,11236296,11007258,11669045,10384722,9669250,12135869,11307032,9094788,6418328,11848211,6899630,11869215,11943669,9381229,9816604,9060205,7717698,6690772,8418208,8871091,8123255,11772746,11202540,11256090,7460242
23,12005350,7317646,6597957,8122689,8322403,11891693,12356164,9971070,11312433,12410189,9986181,7051426,9543471,8346212,10175612,12319041,6776110,7645284,8555853,9549338,7667602,11444666,1,10978482,9072609,10338474,0,7775345,11192049,7499156,0,10545146,11966127,7216554,12175408,8035309,7708194,8348368,7226350,11222956,12068995,8734276,11681743,11275950,11887504,8286025,6577884,9436937,9610332,9010719,7575198,12433771,9763100,7668649,6983417,10599562,11655993,9773007,8467280,8034914,11003083,7193111,7882557,12129042,6689384,8530885,11860113,8367495,12134745,12409047
