,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,1,1132187,0,0,2134657,11668445,0,0,0,0,0,0,0,0,0,0,0,7591020
2,11762763,1,10779452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,7807882,0,0,0,0,0,0,0,0,0
4,0,8509317,0,1,0,0,0,0,0,0,0,0,7920454,0,0,0,0,0
5,0,0,0,0,1,0,0,11762763,0,10306365,0,0,0,0,0,0,12352400,0
6,10779452,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8625279,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6602672,0
8,0,0,0,0,0,0,7807882,1,0,0,0,0,0,0,0,0,0,0
9,8509317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,7920454,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,10306365,1,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,12352400,8625279,1,6602672,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,12208090,1,0,0,0,0,0
14,0,0,10282462,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,10043072,1,0,0,11701886
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11525834,1,0,0
17,0,0,0,0,0,10209671,7545186,10208482,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,0,10333195,0,0,0,0,0,0,0,0,0,0,0,1
